9781799508007,Green Arrow By Jeff Lemire and Andrea Sorrentino: The Deluxe Edition (New Edition)
9781799508038,Batman: Urban Legends Omnibus Vol. 1
9781799508045,Zatanna by Paul Dini Omnibus
9781799508076,Gotham Central: DC Compact Comics Edition
9781799508083,Green Arrow: Year One: DC Compact Comics Edition
9781799508113,DC Finest: Wonder Woman: Dawn Before Darkness
9781799508236,Batman: Detective Comics: The New 52 Omnibus Vol. 2
9781799508281,Superman: Red Son: DC Compact Comics Edition
9781799508342,Superman Adventures Compendium Two
9781799508557,Batgirl of Burnside: DC Compact Comics Edition
9781799508830,DC Finest: Justice League of America: Crisis on Earth-X
9781799508960,Batgirl Vol. 3: The War of Shadows
9781799509035,Absolute Green Lantern: Rebirth (New Edition)
9781799510277,DC Finest: Hard Traveling Heroes
9781799510291,DC Finest: Green Lantern: Setting Up Shop
9781799513605,DC Finest: Supergirl: Die and Let Live
9781799517092,Absolute Batman Vol. 1: The Zoo (LEE)
9781846532979,Hawkeye Omnibus Vol. 1
9785012256263,DC Finest: Batman: The Killing Joke and Other Stories
9798887241296,Teenage Mutant Ninja Turtles: The Last Ronin II--Re-Evolution
9798892155625,Something is Killing the Children Omnibus Vol. 1
9798892156387,BRZRKR Book One
